universe,slice,method,k,s,seed,train_frac,n_pairs,nnz,explained_variance,fit_seconds,transform_seconds,metrics_seconds,dd_mean_abs,dd_median_abs,dd_p95_abs,dd_mean_rho,dd_n_pairs,nn_overlap_at_5,nn_overlap_at_5_p10,nn_overlap_at_10,nn_overlap_at_10_p10,ari_C3,ari_C5,ari_C8,ari_mean,anomaly_recall_5pct,anomaly_precision_5pct,anomaly_score_spearman,anomaly_top10_overlap,sparsity_ratio
top_100__full_incl_covid,full_incl_covid,dense_jl,5,,0,0.7,50000,500,,6.94170594215393e-05,5.2333343774080276e-05,0.12778762495145202,0.30970370257437624,0.2654158225103952,0.7476813884129608,1.1502570770865672,50000,0.05270758122743683,0.0,0.08567990373044523,0.0,0.41424590452908305,0.24256010319168006,0.16344016148551735,0.27341538973542684,0.6190476190476191,0.6190476190476191,0.7390512550061393,0.6,0.0
top_100__full_incl_covid,full_incl_covid,dense_jl,5,,1,0.7,50000,500,,0.00010624993592500687,7.004104554653168e-05,0.1811241670511663,0.2675101449356733,0.24432492482492207,0.5935419959163505,0.8008304004107774,50000,0.04163658243080626,0.0,0.06558363417569193,0.0,0.10081316224218873,0.09541169415962562,0.07140669944782205,0.08921051861654546,0.4523809523809524,0.4523809523809524,0.66574711090962,0.5,0.0
top_100__full_incl_covid,full_incl_covid,dense_jl,5,,2,0.7,50000,500,,0.00010858383029699326,6.829202175140381e-05,0.19228329183533788,0.2239310594635715,0.19185962539595025,0.5408463043244448,0.9390634402805027,50000,0.048616125150421186,0.0,0.0753309265944645,0.0,0.29474693854073425,0.15350498460852982,0.13241021912935855,0.19355404742620755,0.5476190476190477,0.5476190476190477,0.7265246977914434,0.6,0.0
top_100__full_incl_covid,full_incl_covid,dense_jl,5,,3,0.7,50000,500,,5.9915706515312195e-05,3.733392804861069e-05,0.20470850029960275,0.2296879107978577,0.1970763149425021,0.5534646868407324,0.9486092828563674,50000,0.046690734055354996,0.0,0.07111913357400722,0.0,0.09961966809908998,0.09622855955391792,0.10816355997202946,0.10133726254167913,0.5238095238095238,0.5238095238095238,0.7023411543982092,0.5,0.0
top_100__full_incl_covid,full_incl_covid,dense_jl,5,,4,0.7,50000,500,,0.00016008317470550537,0.0001322082243859768,0.15760187525302172,0.23165656913209912,0.20075441150869022,0.5509677834446092,0.9060438691061105,50000,0.04259927797833936,0.0,0.06726835138387485,0.0,0.17266234410289386,0.12939251684370023,0.08767359203422195,0.1299094843269387,0.5476190476190477,0.5476190476190477,0.7165562276877573,0.5,0.0
top_100__full_incl_covid,full_incl_covid,dense_jl,5,,5,0.7,50000,500,,4.3042004108428955e-05,1.7957761883735657e-05,0.19276499981060624,0.24542898838395072,0.21649671800505033,0.5689440523668949,0.8793447362897142,50000,0.03561973525872443,0.0,0.05667870036101083,0.0,0.07933778182421092,0.09976496092645847,0.08329396097965112,0.08746556791010685,0.38095238095238093,0.38095238095238093,0.696489387151494,0.4,0.0
top_100__full_incl_covid,full_incl_covid,dense_jl,5,,6,0.7,50000,500,,0.0001410418190062046,3.912486135959625e-05,0.12053299974650145,0.2518390982230802,0.21679951853120116,0.6055268137241315,1.018327231948256,50000,0.03850782190132371,0.0,0.06630565583634175,0.0,0.3064319036707715,0.14321477305778169,0.11100696637680432,0.18688454770178584,0.6904761904761905,0.6904761904761905,0.7324702099149165,0.4,0.0
top_100__full_incl_covid,full_incl_covid,dense_jl,5,,7,0.7,50000,500,,6.233295425772667e-05,3.704102709889412e-05,0.19032287504523993,0.2302661579243665,0.19961486752278812,0.5495572884874231,0.9392262306021655,50000,0.05006016847172082,0.0,0.08411552346570397,0.0,0.48754961082731624,0.26510304114804534,0.16559770766519208,0.3060834532135179,0.7857142857142857,0.7857142857142857,0.7484943732162752,0.6,0.0
top_100__full_incl_covid,full_incl_covid,dense_jl,5,,8,0.7,50000,500,,0.0009068748913705349,3.445800393819809e-05,0.24492837488651276,0.23763516953870084,0.20760400577152904,0.5585676972782759,0.8988336409491242,50000,0.03513838748495788,0.0,0.06233453670276775,0.0,0.2728022667557929,0.10929678056782174,0.07331418388007316,0.15180441040122927,0.5238095238095238,0.5238095238095238,0.6673089469792527,0.5,0.0
top_100__full_incl_covid,full_incl_covid,dense_jl,5,,9,0.7,50000,500,,5.974993109703064e-05,1.8083956092596054e-05,0.20929137477651238,0.2425898851681233,0.2063887650361927,0.5860481395630953,0.9904518759836755,50000,0.0421179302045728,0.0,0.06714801444043321,0.0,0.12260032170176033,0.13273855280012184,0.09417612483247814,0.11650499977812012,0.42857142857142855,0.42857142857142855,0.7178130949234316,0.5,0.0
top_100__full_incl_covid,full_incl_covid,dense_jl,10,,0,0.7,50000,1000,,0.00010912492871284485,0.00012025004252791405,0.1528450003825128,0.20276675932645302,0.1748856156909802,0.48675249032970563,1.0412503490954472,50000,0.10589651022864019,0.0,0.15270758122743686,0.0,0.4555117712098285,0.27674296321153863,0.18655877470524032,0.30627116970886914,0.6428571428571429,0.6428571428571429,0.8444762457215699,0.8,0.0
top_100__full_incl_covid,full_incl_covid,dense_jl,10,,1,0.7,50000,1000,,7.77500681579113e-05,2.591591328382492e-05,0.26376300025731325,0.17655124055194144,0.14929102439712955,0.4326798677789036,1.0102372225658258,50000,0.10204572803850782,0.0,0.14115523465703972,0.0,0.3969500156516109,0.19766290718691878,0.17435421966624107,0.2563223808349236,0.7142857142857143,0.7142857142857143,0.8292518728064158,0.7,0.0
