universe,slice,method,k,s,seed,train_frac,n_pairs,nnz,explained_variance,fit_transform_seconds,metrics_seconds,dd_mean_abs,dd_median_abs,dd_p95_abs,dd_mean_rho,dd_n_pairs
top_100__full_incl_covid,full_incl_covid,dense_jl,20,,0,0.7,50000,2000,,0.00010575028136372566,0.023605250287801027,0.1241739078720181,0.1059172104693692,0.3019677086782612,1.008243682993308,50000
top_100__full_incl_covid,full_incl_covid,dense_jl,20,,1,0.7,50000,2000,,0.00011083390563726425,0.023791249841451645,0.11969118365527344,0.10016948387458502,0.2986344480568455,1.0094809852771245,50000
top_100__full_incl_covid,full_incl_covid,dense_jl,20,,2,0.7,50000,2000,,0.00010491721332073212,0.0248882919549942,0.13844082408475958,0.11991527816802666,0.32869423553838295,1.0653887341601025,50000
top_100__full_incl_covid,full_incl_covid,pca,20,,0,0.7,50000,-1,0.7108824326056717,0.0065332502126693726,0.03080545784905553,0.25802382551847114,0.2522743059399812,0.444306158203431,0.7419761744815289,50000
top_100__full_incl_covid,full_incl_covid,raw,20,,0,0.7,50000,-1,,7.91158527135849e-07,0.043871209025382996,0.0,0.0,0.0,1.0,50000
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,3.0,0,0.7,50000,300,,0.0011326661333441734,0.02533533424139023,0.11468023849626298,0.09689904435223201,0.2821009523323465,0.97561607484919,50000
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,3.0,1,0.7,50000,300,,0.0009647500701248646,0.02459508366882801,0.11869335000613701,0.09936012960419532,0.2942421704726927,1.0124918880088503,50000
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,3.0,2,0.7,50000,300,,0.000944916158914566,0.026310583110898733,0.11682951720934413,0.09981221139841329,0.2841059490362347,0.98814845355541,50000
