universe,protocol,slice,method,k,s,seed,train_frac,n_pairs,nnz,explained_variance,fit_seconds,transform_seconds,metrics_seconds,dd_mean_abs,dd_median_abs,dd_p95_abs,dd_mean_rho,dd_n_pairs,nn_overlap_at_5,nn_overlap_at_5_p10,nn_overlap_at_10,nn_overlap_at_10_p10,ari_C3,ari_C5,ari_C8,ari_mean,anomaly_recall_5pct,anomaly_precision_5pct,anomaly_score_spearman,anomaly_top10_overlap,sparsity_ratio
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,1,0.7,50000,300,,0.006413832772523165,0.002153791021555662,1.2960028327070177,0.8946007082529663,0.8972752987849408,0.937801881153911,0.10539929174703375,50000,0.05752105896510229,0.0,0.07785800240673887,0.0,0.20191299986268738,0.1923944990688693,0.13040877047259977,0.17490542313471882,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,2,0.7,50000,300,,0.013941084034740925,0.00425129197537899,1.3523361668922007,0.8947853360320633,0.8975593112280624,0.9382025277088282,0.10521466396793665,50000,0.05222623345367027,0.0,0.07316486161251504,0.0,0.13164876075484092,0.1915710480788891,0.17953683447468505,0.16758554776947168,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,3,0.7,50000,300,,0.013738333247601986,0.0020515830256044865,1.3535962495952845,0.894340485719936,0.8970643321656112,0.9375649861700637,0.10565951428006393,50000,0.046450060168471724,0.0,0.0690734055354994,0.0,0.16467881081827695,0.16308409107928865,0.11147665007351304,0.14641318399035955,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,4,0.7,50000,300,,0.01398491719737649,0.0052350410260260105,1.064118292182684,0.8945962976421307,0.8973122308340917,0.9379461473686441,0.1054037023578694,50000,0.04741275571600481,0.0,0.06787003610108304,0.0,0.22035695610487893,0.15413002664009023,0.13304786449962677,0.16917828241486532,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,5,0.7,50000,300,,0.011797292158007622,0.000721207819879055,1.0912900832481682,0.8943207134864836,0.8969411777249421,0.9375359628458751,0.10567928651351631,50000,0.04717208182912155,0.0,0.06991576413959084,0.0,0.16299786985100242,0.21561431231747652,0.1639424200062271,0.18085153405823537,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,6,0.7,50000,300,,0.012024291325360537,0.0030578337609767914,0.969657541718334,0.8944676771788542,0.8972282120538544,0.9374558093833607,0.10553232282114572,50000,0.059687123947051744,0.0,0.07906137184115522,0.0,0.1379760532132848,0.15163528318686914,0.15233212397583565,0.14731448679199652,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,7,0.7,50000,300,,0.012881250120699406,0.0008085831068456173,1.1224397500045598,0.8943016408741652,0.897033623431281,0.9378169111683152,0.10569835912583478,50000,0.04837545126353791,0.0,0.06401925391095066,0.0,0.1574396174320337,0.16189375709943596,0.10907542474718744,0.1428029330928857,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,8,0.7,50000,300,,0.006186916958540678,0.0020480002276599407,1.3143070829100907,0.8947071857288771,0.8974114768405088,0.9381267793849742,0.10529281427112286,50000,0.04909747292418772,0.0,0.07340553549939831,0.0,0.1884876648317906,0.16103268808356092,0.1416965575055357,0.16373897014029573,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,9,0.7,50000,300,,0.013591875322163105,0.0009161252528429031,0.7363815419375896,0.8946360578773652,0.8974103972547833,0.9382059045787494,0.10536394212263482,50000,0.04524669073405536,0.0,0.06714801444043321,0.0,0.1556229718840402,0.14268376052059728,0.1133782730469807,0.13722833515053937,0.0,0.0,0.22644918747469744,0.0,0.85
top_100__chrono70_30__full,chrono70_30,full,crashsketch_R_1bit,20,3.0,10,0.7,50000,300,,0.015278374776244164,0.004801041912287474,0.9878739998675883,0.8946628671376277,0.8973878136390191,0.9380066548498474,0.10533713286237237,50000,0.04404332129963899,0.0,0.0645006016847172,0.0,0.175703502183995,0.1450625257663395,0.12259714344856902,0.1477877237996345,0.0,0.0,0.22644918747469744,0.0,0.85
