universe,slice,method,k,s,seed,train_frac,n_pairs,nnz,explained_variance,fit_transform_seconds,metrics_seconds,dd_mean_abs,dd_median_abs,dd_p95_abs,dd_mean_rho,dd_n_pairs
top_100__full_incl_covid,full_incl_covid,dense_jl,20,,0,0.7,50000,2000,,0.0003247917629778385,0.11643987474963069,0.1241739078720181,0.1059172104693692,0.3019677086782612,1.008243682993308,50000
top_100__full_incl_covid,full_incl_covid,dense_jl,20,,1,0.7,50000,2000,,0.0003253752365708351,0.11863612523302436,0.11969118365527344,0.10016948387458502,0.2986344480568455,1.0094809852771245,50000
top_100__full_incl_covid,full_incl_covid,dense_jl,20,,2,0.7,50000,2000,,0.000157166738063097,0.04384804191067815,0.13844082408475958,0.11991527816802666,0.32869423553838295,1.0653887341601025,50000
top_100__full_incl_covid,full_incl_covid,pca,20,,0,0.7,50000,-1,0.7108824326056717,0.013968124985694885,0.10813324991613626,0.25802382551847114,0.2522743059399812,0.444306158203431,0.7419761744815289,50000
top_100__full_incl_covid,full_incl_covid,raw,20,,0,0.7,50000,-1,,5.00120222568512e-07,0.13950808299705386,0.0,0.0,0.0,1.0,50000
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,3.0,0,0.7,50000,300,,0.0020414162427186966,0.04737937496975064,0.11468023849626298,0.09689904435223201,0.2821009523323465,0.97561607484919,50000
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,3.0,1,0.7,50000,300,,0.004108707886189222,0.05684558302164078,0.11869335000613701,0.09936012960419532,0.2942421704726927,1.0124918880088503,50000
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,3.0,2,0.7,50000,300,,0.0012986250221729279,0.04278370784595609,0.11682951720934413,0.09981221139841329,0.2841059490362347,0.98814845355541,50000
