universe,protocol,slice,method,k,s,seed,train_frac,n_pairs,nnz,explained_variance,fit_seconds,transform_seconds,metrics_seconds,dd_mean_abs,dd_median_abs,dd_p95_abs,dd_mean_rho,dd_n_pairs,nn_overlap_at_5,nn_overlap_at_5_p10,nn_overlap_at_10,nn_overlap_at_10_p10,ari_C3,ari_C5,ari_C8,ari_mean,anomaly_recall_5pct,anomaly_precision_5pct,anomaly_score_spearman,anomaly_top10_overlap,sparsity_ratio
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,0,0.7,50000,2260,,0.00019253000004937348,0.0016155099999650702,1.6485677240000314,0.27747583523750985,0.23706687827455852,0.6727761654063531,1.0959959345177428,50000,0.03465703971119134,0.0,0.0641395908543923,0.0,0.41179499704269634,0.17848161138214003,0.2025840002027972,0.2642868695425445,0.6666666666666666,0.6666666666666666,0.7401133972156329,0.7,0.0
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,1,0.7,50000,2260,,0.00021865999997316976,0.0020425400000476657,1.5935961410000345,0.24699733433247809,0.21040136288255906,0.599071338031377,1.0350385145439565,50000,0.04043321299638989,0.0,0.06594464500601685,0.0,0.15615816864049684,0.17068495573438183,0.16147096944300515,0.16277136460596128,0.6190476190476191,0.6190476190476191,0.6860889336295473,0.7,0.0
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,2,0.7,50000,2260,,0.0002275690000033137,0.0019330889999764622,1.5688246310000977,0.24622200999414956,0.21157620598855703,0.5897866551892437,1.0070254607246292,50000,0.03634175691937425,0.0,0.06474127557160048,0.0,0.4484157420302467,0.2134300013065438,0.15451171746140932,0.2721191535993999,0.6666666666666666,0.6666666666666666,0.7227347950535827,0.7,0.0
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,3,0.7,50000,2260,,0.0002270400000270456,0.0011840200000960976,1.7129495570000017,0.23771444812076767,0.204407833267373,0.5718535985060912,0.9590324206639532,50000,0.030806257521058967,0.0,0.05643802647412756,0.0,0.34578060465817506,0.17123590566017918,0.1294324288355243,0.21548297971795952,0.6428571428571429,0.6428571428571429,0.690864840924375,0.5,0.0
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,4,0.7,50000,2260,,0.00019939999992857338,0.0019830399999136716,1.6135539620000827,0.2656829885477923,0.23592263278994774,0.6062446879360115,0.8713563412785968,50000,0.02141997593261131,0.0,0.03646209386281589,0.0,0.07102815888056276,0.04724337729216442,0.04589058777161192,0.05472070798144637,0.42857142857142855,0.42857142857142855,0.5669656688403154,0.3,0.0
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,5,0.7,50000,2260,,0.00021285000002535526,0.0012551400000120339,1.6733549159999939,0.25063880069804695,0.22031568604324625,0.581723012973597,0.891127589610013,50000,0.023586040914560773,0.0,0.040312876052948254,0.0,0.09915919227577345,0.08992705634942778,0.0675917699717473,0.08555933953231619,0.47619047619047616,0.47619047619047616,0.6389228602831207,0.4,0.0
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,6,0.7,50000,2260,,0.00020029999996040715,0.0016241299999819603,1.562851559999899,0.2378772146399985,0.20452662323021714,0.5680103432336905,0.9436558914709513,50000,0.030324909747292423,0.0,0.048134777376654635,0.0,0.12184235667434966,0.1341424311231895,0.10723946804765605,0.1210747519483984,0.5476190476190477,0.5476190476190477,0.6905995406229193,0.5,0.0
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,7,0.7,50000,2260,,0.00019856999995226943,0.0010726199999453456,1.4751442150000003,0.2815737907182713,0.24581746920838954,0.6626192493282896,1.107067974677175,50000,0.04235860409145608,0.0,0.0717208182912154,0.0,0.4525418261195202,0.1979715495258187,0.1859018293891077,0.27880506834481555,0.7380952380952381,0.7380952380952381,0.7530624441671155,0.7,0.0
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,8,0.7,50000,2260,,0.00025493000009646494,0.0013586699999450502,1.4999096860000236,0.2371241231905501,0.2058888989171052,0.565402630909591,0.9110392642562973,50000,0.025270758122743688,0.0,0.047292418772563176,0.0,0.11304303128042595,0.09566636042864506,0.07109531342480511,0.09326823504462538,0.5714285714285714,0.5714285714285714,0.6743381398406734,0.6,0.0
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,9,0.7,50000,2260,,0.00018141099997137644,0.0013860309999245146,1.372908989999928,0.24419515941247788,0.21262407336692074,0.5793508665250156,0.9566093800797628,50000,0.02527075812274368,0.0,0.04945848375451264,0.0,0.3229609277906222,0.17560140011803746,0.13374780489771243,0.21077004426879067,0.5476190476190477,0.5476190476190477,0.6937159565783266,0.6,0.0
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,10,0.7,50000,2260,,0.00023788999999396765,0.002280250000012529,1.6483025940000289,0.24207597592467078,0.21027801367520826,0.5715081657935958,0.9401283775800071,50000,0.030324909747292423,0.0,0.053790613718411553,0.0,0.09736128447453996,0.12454512506971213,0.11358643487452569,0.1118309481395926,0.5238095238095238,0.5238095238095238,0.6832599629286376,0.3,0.0
all_survivors__chrono70_30__full,chrono70_30,full,dense_jl,5,,11,0.7,50000,2260,,0.0002264700000296216,0.0027854100000013204,1.578086950999932,0.26038497754133016,0.22754045850612514,0.6121193363503127,0.9477288867126776,50000,0.020697954271961496,0.0,0.03910950661853189,0.0,0.08434639422583172,0.08240548730317408,0.04609179084682292,0.0709478907919429,0.3333333333333333,0.3333333333333333,0.6334504011603201,0.4,0.0
