universe,slice,method,k,s,seed,train_frac,n_pairs,nnz,explained_variance,fit_seconds,transform_seconds,metrics_seconds,dd_mean_abs,dd_median_abs,dd_p95_abs,dd_mean_rho,dd_n_pairs,nn_overlap_at_5,nn_overlap_at_5_p10,nn_overlap_at_10,nn_overlap_at_10_p10,ari_C3,ari_C5,ari_C8,ari_mean,anomaly_recall_5pct,anomaly_precision_5pct,anomaly_score_spearman,anomaly_top10_overlap,sparsity_ratio
top_100__full_excl_covid,full_excl_covid,dense_jl,5,,0,0.7,50000,500,,0.00016806900003984993,0.0005480990000137353,0.5549367250000046,0.30970370257437635,0.2654158225103971,0.7476813884129611,1.1502570770865672,50000,0.05270758122743683,0.0,0.08567990373044523,0.0,0.41424590452908305,0.24256010319168006,0.16344016148551735,0.27341538973542684,0.6190476190476191,0.6190476190476191,0.7390512550061393,0.6,0.0
top_100__full_excl_covid,full_excl_covid,dense_jl,5,,1,0.7,50000,500,,0.00015873999996074417,0.0004451799999856121,0.5938020689999917,0.2675101449356733,0.24432492482492152,0.5935419959163526,0.8008304004107774,50000,0.04163658243080626,0.0,0.06558363417569193,0.0,0.10081316224218873,0.09541169415962562,0.07140669944782205,0.08921051861654546,0.4523809523809524,0.4523809523809524,0.66574711090962,0.5,0.0
top_100__full_excl_covid,full_excl_covid,dense_jl,5,,2,0.7,50000,500,,0.0001729890000206069,0.00035639999998693384,0.48181702599998744,0.22393105946357156,0.1918596253959508,0.5408463043244466,0.9390634402805027,50000,0.048616125150421186,0.0,0.0753309265944645,0.0,0.29474693854073425,0.15350498460852982,0.13241021912935855,0.19355404742620755,0.5476190476190477,0.5476190476190477,0.7265246977914434,0.6,0.0
top_100__full_excl_covid,full_excl_covid,dense_jl,5,,3,0.7,50000,500,,0.00017600999996147948,0.00026253999999426014,0.5516155160000267,0.22968791079785766,0.1970763149425031,0.5534646868407307,0.9486092828563674,50000,0.046690734055354996,0.0,0.07111913357400722,0.0,0.09961966809908998,0.09622855955391792,0.10816355997202946,0.10133726254167913,0.5238095238095238,0.5238095238095238,0.7023411543982092,0.5,0.0
top_100__full_excl_covid,full_excl_covid,dense_jl,5,,4,0.7,50000,500,,0.00018152899997403438,0.00026394000002483153,0.5807424340000011,0.23165656913209912,0.20075441150869006,0.5509677834446103,0.9060438691061105,50000,0.04259927797833936,0.0,0.06726835138387485,0.0,0.17266234410289386,0.12939251684370023,0.08767359203422195,0.1299094843269387,0.5476190476190477,0.5476190476190477,0.7165562276877573,0.5,0.0
top_100__full_excl_covid,full_excl_covid,dense_jl,5,,5,0.7,50000,500,,0.00017010999999911292,0.0031249390000311905,0.6058810729999777,0.24542898838395072,0.21649671800504638,0.5689440523668906,0.8793447362897142,50000,0.03561973525872443,0.0,0.05667870036101083,0.0,0.07933778182421092,0.09976496092645847,0.08329396097965112,0.08746556791010685,0.38095238095238093,0.38095238095238093,0.696489387151494,0.4,0.0
top_100__full_excl_covid,full_excl_covid,dense_jl,5,,6,0.7,50000,500,,0.00018333000002712652,0.00038010999998050465,0.5235667880000392,0.2518390982230802,0.21679951853120216,0.6055268137241294,1.018327231948256,50000,0.03850782190132371,0.0,0.06630565583634175,0.0,0.3064319036707715,0.14321477305778169,0.11100696637680432,0.18688454770178584,0.6904761904761905,0.6904761904761905,0.7324702099149165,0.4,0.0
top_100__full_excl_covid,full_excl_covid,dense_jl,5,,7,0.7,50000,500,,0.00020648900004971438,0.000395980000007512,0.5835334829999965,0.2302661579243665,0.19961486752278962,0.5495572884874214,0.9392262306021655,50000,0.05006016847172082,0.0,0.08411552346570397,0.0,0.48754961082731624,0.26510304114804534,0.16559770766519208,0.3060834532135179,0.7857142857142857,0.7857142857142857,0.7484943732162752,0.6,0.0
top_100__full_excl_covid,full_excl_covid,dense_jl,5,,8,0.7,50000,500,,0.00014441999996961385,0.0002811599999859027,0.5649890810000215,0.23763516953870084,0.2076040057715297,0.558567697278275,0.8988336409491242,50000,0.03513838748495788,0.0,0.06233453670276775,0.0,0.2728022667557929,0.10929678056782174,0.07331418388007316,0.15180441040122927,0.5238095238095238,0.5238095238095238,0.6673089469792527,0.5,0.0
top_100__full_excl_covid,full_excl_covid,dense_jl,5,,9,0.7,50000,500,,0.0001612089999980526,0.0003594899999939116,0.5325797450000209,0.2425898851681233,0.2063887650361908,0.586048139563093,0.9904518759836755,50000,0.0421179302045728,0.0,0.06714801444043321,0.0,0.12260032170176033,0.13273855280012184,0.09417612483247814,0.11650499977812012,0.42857142857142855,0.42857142857142855,0.7178130949234316,0.5,0.0
